ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Width (inches),Depth (inches),Capacity - Maximum Number of Place Settings,Soil-Sensing Capability,Tub Material,Drying Method,Additional Product Features,Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),% Better than US Federal Standard (kWh/yr),Water Use (gallons/cycle),US Federal Standard (gallons/cycle),% Better than US Federal Standard (gallons/cycle),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Direct on-premises Open-standard Based Interconnection,Date Available On Market, Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2024 Criteria
2732683,Dacor,DDW24G9000AP,,887276819853,Standard,23.5,22.8,14,Yes,Stainless Steel,Automatic Door Release,"Top Controls,Cycle Status Lights,Hard Food Filter,Third Rack",225,307,27,3.2,5,36,No,,,,,03/22/2024,11/14/2023,"United States, Canada",ES_1016518_DDW24G9000AP_11142023105452_80188705,Yes
2557713,Fisher & Paykel,DD24DTX6I1,",,Double drawer tall tub, ss tub, integrated",822843821624,Standard,23.6,22.5,14,Yes,Stainless Steel,Fan-Assisted Dry,Top Controls,202,307,34,3.1,5,38,No,,,,,04/14/2022,07/12/2023,"United States, Canada",ES_31708_DD24DTX6I1_052620211017763_6070550,Yes
2557712,Fisher & Paykel,DD24DTX6PX1,",,Double drawer tall tub, ss tub, classic, ss color",822843823970,Standard,23.6,22.5,14,Yes,Stainless Steel,Fan-Assisted Dry,Top Controls,202,307,34,3.1,5,38,No,,,,,04/14/2022,05/14/2024,"United States, Canada",ES_31708_DD24DTX6PX1_012720221807443_3125940,Yes
2403740,Asko,DBI364*,,3838782650635,Standard,24,21.8,16,No,Stainless Steel,Automatic Door Release,"Front Controls,Third Rack",220,307,28,3,5,40,No,,,,,02/01/2023,10/21/2022,"United States, Canada",ES_1123023_DBI364*_10272022115247_80145987,Yes
2403737,Asko,DBI564*,,3838782628504;3838782639548;3838782641725;3838782641794;3838782645464;3838782650673,Standard,24,21.8,16,No,Stainless Steel,Automatic Door Release,"Top Controls,Cycle Status Lights,Third Rack",220,307,28,3,5,40,No,,,,,02/01/2023,10/21/2022,"United States, Canada",ES_1123023_DBI564*_10272022115247_80145987,Yes
2403735,Asko,DBI565*,,3838782627484;3838782628443;3838782639074;3838782639081,Standard,24,21.8,16,No,Stainless Steel,Automatic Door Release,"Top Controls,Cycle Status Lights,Third Rack",220,307,28,3,5,40,No,,,,,02/01/2023,10/21/2022,"United States, Canada",ES_1123023_DBI565*_10272022115247_80145987,Yes
2403743,Asko,DBI776*,,3838782650659,Standard,24,21.8,17,No,Stainless Steel,Automatic Door Release,"Top Controls,Cycle Status Lights,Third Rack",220,307,28,3,5,40,No,,,,,02/01/2023,10/21/2022,"United States, Canada",ES_1123023_DBI776*_10272022115247_80145987,Yes
2403738,Asko,DFI564*,,3838782627453;3838782627491,Standard,24,21.8,16,No,Stainless Steel,Automatic Door Release,"Top Controls,Cycle Status Lights,Third Rack",220,307,28,3,5,40,No,,,,,02/01/2023,10/21/2022,"United States, Canada",ES_1123023_DFI564*_10272022115247_80145987,Yes
2403736,Asko,DFI565*,,3838782628436;3838782628542;3838782647833,Standard,24,21.8,16,No,Stainless Steel,Automatic Door Release,"Top Controls,Cycle Status Lights,Third Rack",220,307,28,3,5,40,No,,,,,02/01/2023,10/21/2022,"United States, Canada",ES_1123023_DFI565*_10272022115247_80145987,Yes
2403742,Asko,DFI776*,,3838782634703,Standard,24,21.8,17,No,Stainless Steel,Automatic Door Release,"Top Controls,Cycle Status Lights,Third Rack",220,307,28,3,5,40,No,,,,,02/01/2023,10/21/2022,"United States, Canada",ES_1123023_DFI776*_10272022115247_80145987,Yes
2403741,Asko,DOD561*,,3838782688058,Standard,24.5,24.9,16,No,Stainless Steel,Automatic Door Release,"Top Controls,Third Rack",220,307,28,3,5,40,No,,,,,02/01/2023,10/21/2022,"United States, Canada",ES_1123023_DOD561*_10272022115247_80145987,Yes
2403739,Asko,DSD565*,,3838782650666,Standard,24,21.8,16,No,Stainless Steel,Automatic Door Release,"Top Controls,Cycle Status Lights,Third Rack",220,307,28,3,5,40,No,,,,,02/01/2023,10/21/2022,"United States, Canada",ES_1123023_DSD565*_10272022115247_80145987,Yes
2583162,Beko,DDS25842***,"DDS25842X,DDS25842X,",8690842266751,Standard,44.8,57,8,Yes,Stainless Steel,Condensation Dry,Top Controls,220,307,28,2.4,5,52,No,,,,,07/30/2019,07/18/2023,"United States, Canada",ES_1036108_DDS25842***_06112019181450_6890212,Yes
2587146,Beko,DDT38530***,"DDT38530BX,DDT38530BX,; DDT38530X,DDT38530X,",8690842175879;8690842205866,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Front Controls,225,307,27,2.36,5,53,No,,,,,12/29/2017,07/19/2023,"United States, Canada",ES_1036108_DDT38530**_12222017203213_4733013,Yes
2583160,Beko,DIS25842,,8690842266706,Standard,44.8,57,8,Yes,Stainless Steel,Condensation Dry,Top Controls,220,307,28,2.4,5,52,No,,,,,07/30/2019,07/18/2023,"United States, Canada",ES_1036108_DIS25842_06112019181507_6907951,Yes
2587142,Beko,DUT36520***,"DUT36520W,DUT36520W,; DUT36520X,DUT36520X,",8690842284212;8690842284656,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Front Controls,225,307,27,2.36,5,53,No,,,,,12/29/2017,07/19/2023,"United States, Canada",ES_1036108_DUT36520***_09202019190145_6105236,Yes
2587147,BIG CHILL,BC24DW,,8690842556258,Standard,59.8,57,12,Yes,Stainless Steel,Fan-Assisted Dry,Top Controls,225,307,27,2.37,5,53,No,,,,,03/26/2018,07/19/2023,"United States, Canada",ES_1141510_BC24DW_071320232232800_6651286,Yes
