ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Max Nameplate Output Current (A),Input Voltage (V),Maximum Output Power (kW),Number of Outputs,Maximum Output Cord Length (ft.),Output Cord Gauge (AWG),"Screen Area, if EVSE has high res display (in2)",Maximum (100%) Measured Luminance of the High Res Display (candelas per m2),Automatic Brightness Control (ABC) Capable?,Connected Capable,DR Protocol,Connects Using,Protocols Used to Support Smart Charging,Network Security Standards,Is Broadband Internet Connection Needed for Demand Response?,Auxiliary Product Features,Product Features,Network Capability,Network Connection Types Available,No Vehicle Mode Input Power (watts),No Vehicle Mode Total Allowance (watts),No Vehicle Mode Power Factor,Partial On Mode Input Power (watts),Partial On Mode Total Allowance (watts),Partial On Mode Power Factor,Idle Mode Input Power (watts),Idle Mode Total Allowance (watts),Idle Mode Power Factor,Full Current Operation Mode Test: Total Loss (watts),30 A Operation Mode Test: Total Loss (watts),15 A Operation Mode Test: Total Loss (watts),4 A Operation Mode Test: Total Loss (watts),Dual Input Level 2: No Vehicle Mode Input Power (watts),Dual Input No Vehicle Mode Total Allowance (watts),Dual Input Level 2: No Vehicle Mode Power Factor,Dual Input Level 2: Partial On Mode Input Power (watts),Dual Input Partial On Mode Total Allowance (watts),Dual Input Level 2:  Partial On Mode Power Factor,Dual Input Level 2:  Idle Mode Input Power (watts),Dual Input Idle Mode Total Allowance (watts),Dual Input Level 2:  Idle Mode Power Factor,Dual Input Level 2: Full Current Operation Mode Test: Total Loss (watts),Dual Input Level 2: 30 A Operation Mode Test: Total Loss (watts),Dual Input Level 2: 15 A Operation Mode Test: Total Loss (watts),Dual Input Level 2: 4 A Operation Mode Test: Total Loss (watts),Date Available on Market,Date Certified,Markets,CB Model Identifier
2397554,"Autel Digital Power Co., Ltd.",AUTEL,Maxi US AC W12-H,Maxi US AC W12-H,,,Level 2,50,240,12,1,25,9,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.21,3.6,0.48,3.28,3.6,0.48,5.32,23.6,0.47,140,57,28,8,,,,,,,,,,,,,,06/17/2022,06/17/2022,"United States, Canada",ES_1147564_Maxi US AC W12-H_06152022094812_8440057
2399135,"Autel Digital Power Co., Ltd.",AUTEL,Maxi US AC W12,Maxi US AC W12,,,Level 2,50,240,12,1,25,8,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.45,3.6,0.36,3.48,3.6,0.37,5.83,23.6,0.41,150,62,25,16,,,,,,,,,,,,,,07/22/2022,07/22/2022,"United States, Canada",ES_1147564_Maxi US AC W12_07192022131712_6649743
2399136,"Autel Digital Power Co., Ltd.",AUTEL,Maxi US AC W10-N14,Maxi US AC W10-N14,",Maxi US AC W10-N6,",,Level 2,40,240,9.6,1,25,8,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.5,3.6,0.36,3.53,3.6,0.36,5.84,19.6,0.41,123,74,43,14,,,,,,,,,,,,,,07/22/2022,07/22/2022,"United States, Canada",ES_1147564_Maxi US AC W10-N14_07192022132141_1848108
2399137,"Autel Digital Power Co., Ltd.",AUTEL,Maxi US AC W7-N14,Maxi US AC W7-N14,",Maxi US AC W7-N6,",,Level 2,32,240,7.68,1,25,8,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.57,3.6,0.36,3.42,3.6,0.36,5.85,16.4,0.41,85,71,30,11,,,,,,,,,,,,,,07/22/2022,07/22/2022,"United States, Canada",ES_1147564_Maxi US AC W7-N14_07192022130855_1384088
2399139,"Autel Digital Power Co., Ltd.",AUTEL,Maxi US AC W12-L-4G,Maxi US AC W12-L-4G,,,Level 2,50,240,12,1,25,8,10.98,25,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,4.68,4.71,0.46,4.71,4.71,0.46,6.74,23.91,0.48,154,57,28,15,,,,,,,,,,,,,,07/15/2022,07/15/2022,"United States, Canada",ES_1147564_Maxi US AC W12-L_07142022111857_3078424
2399144,"Autel Digital Power Co., Ltd.",AUTEL,Maxi US AC W7-N14-H,Maxi US AC W7-N14-H,",Maxi US W7-N6-H,",,Level 2,32,240,7.68,1,25,10,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.42,3.6,0.37,3.45,3.6,0.36,5.58,16.45,0.41,65,58,21,14,,,,,,,,,,,,,,07/12/2022,07/12/2022,"United States, Canada",ES_1147564_Maxi US AC W7_07112022125538_5229150
2404370,"Autel Digital Power Co., Ltd.",AUTEL,Maxi US AC LW7-N14,Maxi US AC LW7-N14,",Maxi US AC LW7-N6,",,Level 2,32,240,7.68,1,25,10,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.49,3.6,0.35,3.53,3.6,0.35,5.63,16.4,0.41,84,80,40,10,,,,,,,,,,,,,,11/11/2022,11/11/2022,"United States, Canada",ES_1147564_Maxi US AC LW7-N14_11042022142527_3631250
2404371,"Autel Digital Power Co., Ltd.",AUTEL,Maxi US AC LW12,Maxi US AC LW12,,,Level 2,50,240,12,1,25,9,,,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,3.5,3.6,0.36,3.56,3.6,0.36,5.77,23.6,0.42,168,65,28,18,,,,,,,,,,,,,,11/11/2022,11/11/2022,"United States, Canada",ES_1147564_Maxi US AC LW12_11042022141612_6869317
2406576,"Autel Digital Power Co., Ltd.",AUTEL,Maxi UF38C001,Maxi UF38C001,",Maxi UF38L001,",,Level 2,160,240,38.4,2,23,6,27.2,86,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,4.03,4.47,0.29,4.17,4.47,0.3,12.13,36.47,0.46,291.33,58.83,29.33,20.83,,,,,,,,,,,,,,01/06/2023,01/06/2023,"United States, Canada",ES_1147564_Maxi UF38C001_01042023144239_6922113
2407079,"Autel Digital Power Co., Ltd.",AUTEL,Maxi UF19C001,Maxi UF19C001,",Maxi UF19L001,",,Level 2,80,240,19.2,1,25,6,27.2,86,No,,,,,,,,,Yes,Wi-Fi or Gigabit Ethernet,6.13,6.33,0.28,6.26,6.33,0.28,14.93,38.33,0.41,283,50,23,15,,,,,,,,,,,,,,01/19/2023,01/19/2023,"United States, Canada",ES_1147564_Maxi UF19C001_01132023095423_2906305
