ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Fuel Type,Furnace is ENERGY STAR Certified in,Efficiency (AFUE),Capable of Two Way Communication?,Date Available On Market,Date Qualified,Markets,CB Model Identifier,Can Integrate Hot Water Heating,Meets ENERGY STAR Most Efficient Criteria
3543383,Allied Air Enterprises,AIREASE,A98USMV SERIES,A98USMV090C16S -*,,,"Natural Gas,Propane Gas",All,98,Other/Proprietary,08/20/2023,06/07/2024,"United States, Canada",ES_1102531_A98USMV090C16S -*_11292023004549_7473618,No,
3543384,Allied Air Enterprises,AIREASE,A98USMV SERIES,A98USMV090C20S -*,,,"Natural Gas,Propane Gas",All,98,Other/Proprietary,08/22/2023,06/07/2024,"United States, Canada",ES_1102531_A98USMV090C20S -*_11292023004550_7388558,No,
3543385,Allied Air Enterprises,AIREASE,A98USMV SERIES,A98USMV110C20S -*,,,"Natural Gas,Propane Gas",All,98,Other/Proprietary,08/24/2023,06/07/2024,"United States, Canada",ES_1102531_A98USMV110C20S -*_11292023004552_8331176,No,
3543386,Allied Air Enterprises,AIREASE,A98USMV SERIES,A98USMV135D20S -*,,,"Natural Gas,Propane Gas",All,98,Other/Proprietary,08/26/2023,06/07/2024,"United States, Canada",ES_1102531_A98USMV135D20S -*_11292023004552_1895768,No,
3543387,Allied Air Enterprises,AIREASE,A98USMV SERIES,A98USMV070B12S -*,,,"Natural Gas,Propane Gas",All,98,Other/Proprietary,08/16/2023,06/07/2024,"United States, Canada",ES_1102531_A98USMV070B12S -*_11292023004554_2931401,No,
2311438,Allied Air Enterprises,ALLIED,A962V SERIES,A96US2V110C20S-*,,,"Natural Gas,Propane Gas",All,96,Other/Proprietary,11/15/2014,10/16/2023,"United States, Canada",ES_1102531_A96US2V110C20S-*_03052018230621_4118547,No,
2343032,Allied Air Enterprises,ALLIED,A97US2V060B12X-**,A97US2V060B12X-**,,,"Natural Gas,Propane Gas",All,97.5,Other/Proprietary,04/10/2017,06/16/2023,"United States, Canada",ES_1102531_A97US2V060B12X-**_08052019151941_8581505,No,
2343140,Allied Air Enterprises,ALLIED,A97US2V080C16X-*-*,A97US2V080C16X-*-*,,,"Natural Gas,Propane Gas",All,97.5,Other/Proprietary,04/10/2018,06/16/2023,"United States, Canada",ES_1102531_A97US2V080C16X-*-*_08062019185734_2869769,No,
2343205,Allied Air Enterprises,ALLIED,95G1UH080CE16X-*,95G1UH080CE16X-*,,,Natural Gas,All,95,Other/Proprietary,04/10/2018,06/16/2023,"United States, Canada",ES_1102531_95G1UH080CE16X-*_08062019190203_6997957,No,
2343370,Allied Air Enterprises,ALLIED,95G1UH100CE20X-*,95G1UH100CE20X-*,,,Natural Gas,All,95,Other/Proprietary,04/10/2018,06/16/2023,"United States, Canada",ES_1102531_95G1UH100CE20X-*_08062019193157_0340877,No,
