ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Configuration,Additional Handset Telephones Supported,Frequency,Standby Power (W),Off Mode Power (W),External Proxy Capability,Physical Data Ports,Low Power Wireless Technologies,Gigabit Ethernet Ports,Fast Ethernet Ports,Energy Efficient Ethernet - Gigabit,Energy Efficient Ethernet - Fast,Display Resolution (pixels),Power Over Ethernet Class,External Power Supply,Date Available On Market,Date Qualified,Markets,CB Model Identifier
3436424,"VTech Telecommunications, Ltd.",AT&T,DECT 6.0 cordless phone,"BL102-2,BL102;BL102-3; BL102-4; BL102-5, BL102-#*, BL102-##, BL102-0, BL102-0*, BL102-0#",",BL102;BL102-3; BL102-4; BL102-5, BL102-#*, BL102-##, BL102-0, BL102-0*, BL102-0#,",,Analog,Cordless,,None,0.66,,N/A,Other,None,0,0,0,0,,N/A,Yes,02/02/2024,04/15/2024,"United States, Canada","ES_1067513_BL102-2,BL102;BL102-3;BL102-4;BL102-5,BL102-#*,BL102-##,BL102-0,BL102-0*,BL102-0#_04152024015010_1010101"
2234363,"VTech Telecommunications, Ltd.",AT&T,CL80103,CL80103,",CL80103,1HS+1charger; ,CL80113,1HS+1charger; ,CL801Y3,1HS+1charger",,Analog,Additional Handset,0,None,0.2,0,N/A,Other,None,0,0,0,0,,N/A,Yes,02/24/2015,03/05/2015,"United States, Canada",ES_1067513_CL80103_02252015120605_9167596
2292622,"VTech Telecommunications, Ltd.",AT&T,CL80107,CL80107,",CL801*7 HS,1 handset + 1 charger; ,CL801*7,1 handset + 1 charger; ,CL80107 HS,1 handset + 1 charger; ,CL80107,1 handset + 1 charger",,Analog,Additional Handset,0,None,0.2,0,Not Supported,Other,None,0,0,0,0,,N/A,Optional,12/30/2016,03/16/2017,"United States, Canada",ES_1067513_CL80107_03132017102607_8089563
2320756,"VTech Telecommunications, Ltd.",AT&T,CL80114,CL80114,",CL801#4,1 handset  + 1 charger; ,CL801*4,1 handset  + 1 charger; ,CL80114,1 handset  + 1 charger",,Analog,Additional Handset,0,None,0.2,0,N/A,Other,None,0,0,0,0,,N/A,Yes,05/03/2018,06/01/2018,"United States, Canada",ES_1067513_CL80114_05142018194915_5217706
2232686,"VTech Telecommunications, Ltd.",AT&T,CL80115,CL80115,",CL80115,1HS+1Charger; ,CL801Y5,1HS+1Charger",,Analog,Cordless,0,None,0.2,0,N/A,Other,None,0,0,0,0,,N/A,Yes,01/22/2015,02/03/2015,"United States, Canada",ES_1067513_CL80115_01232015101628_2345849
2338705,"VTech Telecommunications, Ltd.",AT&T,CL80119,CL80119,",CL801#9,1 handset + 1 charger; ,CL801*9,1 handset + 1 charger; ,CL80119,1 handset + 1 charger",650530031847;650530031854;650530031861;650530031908;650530033582,Analog,Additional Handset,1,None,0.1,0,N/A,Other,None,0,0,0,0,,N/A,Yes,02/28/2019,05/22/2019,"United States, Canada",ES_1067513_CL80119_05202019153444_3494073
2320754,"VTech Telecommunications, Ltd.",AT&T,CL81114,CL81114,",CL81##4,1 base + 1st# handsets + (1st #-1) chargers; ,CL81#*4,1 base + # handsets + (#-1) chargers; ,CL81114,1 base + 1 handset; ,CL81214,1 base + 2 handsets + 1 charger",,Analog,Cordless,1,None,0.8,0,N/A,Other,None,0,0,0,0,,N/A,Yes,05/03/2018,06/01/2018,"United States, Canada",ES_1067513_CL81114_05142018193130_6372949
2234362,"VTech Telecommunications, Ltd.",AT&T,CL82113,CL82113,",CL82113,1HS+1BS(W/ ITAD); ,CL82203,2HS+1BS(W/ ITAD)+1charger; ,CL82213,2HS+1BS(W/ ITAD)+1charger; ,CL82313,3HS+1BS(W/ ITAD)+2chargers; ,CL82353,3HS+1BS(W/ ITAD)+2chargers; ,CL82413,4HS+1BS(W/ ITAD)+3chargers; ,CL82453,4HS+1BS(W/ ITAD)+3chargers; ,CL82553,5HS+1BS(W/ ITAD)+4chargers; ,CL82XY3,XHS+1BS(W/ ITAD)+(X-1) chargers",,Analog,Cordless,1,None,0.7,0,N/A,Other,None,0,0,0,0,,N/A,Yes,02/24/2015,02/24/2015,"United States, Canada",ES_1067513_CL82113_02252015120249_9536401
2320755,"VTech Telecommunications, Ltd.",AT&T,CL82114,CL82114,",CL82##4,1 base + 1st# handsets + (1st #-1) chargers; ,CL82#*4,1 base + # handsets + (#-1) chargers; ,CL82114,1 base + 1 handset; ,CL82214,1 base + 2 handsets + 1 charger",,Analog,Cordless,1,None,0.7,0,N/A,Other,None,0,0,0,0,,N/A,Yes,05/03/2018,06/01/2018,"United States, Canada",ES_1067513_CL82114_05142018194304_299493
2292649,"VTech Telecommunications, Ltd.",AT&T,CL82207,CL82207,",CL82##7,; ,CL82107,# handsets + 1 base (W/ ITAD) + (#-1) chargers; ,CL82207,# handsets + 1 base (W/ ITAD) + (#-1) chargers; ,CL82307,# handsets + 1 base (W/ ITAD) + (#-1) chargers; ,CL82357,# handsets + 1 base (W/ ITAD) + (#-1) chargers; ,CL82407,# handsets + 1 base (W/ ITAD) + (#-1) chargers; ,CL82507,# handsets + 1 base (W/ ITAD) + (#-1) chargers",,Analog,Cordless,1,None,0.6,0,Not Supported,Other,None,0,0,0,0,,N/A,Optional,12/30/2016,03/16/2017,"United States, Canada",ES_1067513_CL82207_03032017141355_418664
