ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Fuel Type,Vent Type,Storage Volume (gallons),Tank Height (in.),Height to Vent (in.),Tank Diameter (in.),Vent Size (in.),Vent Size 2 (in.),Max Heat Output (kBtu/hr),Input Rate  - Gas-fired (kBtu/hr),Thermal Efficiency (TE),Standby Loss (Btu/hr),Electric Input - Electric Heat Pump (kW),Coefficient of Performance (COPh),Optional Status and Messaging Features,Date Available On Market,Date Certified,Markets,CB Model Identifier
2324284,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SS-130,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,130,0.97,1050,,,,04/05/2018,04/17/2024,"United States, Canada",ES_1045829_GHE100SS-130_08102018203606_9065404
2324285,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SS-130A,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,130,0.97,1050,,,,04/05/2018,04/17/2024,"United States, Canada",ES_1045829_GHE100SS-130A_08102018203608_0254667
2324286,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SU-130A,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,130,0.97,1050,,,,04/05/2018,04/17/2024,"United States, Canada",ES_1045829_GHE100SU-130A_08102018203610_9076595
2324287,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SS-130,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,130,0.97,1050,,,,04/05/2018,04/17/2024,"United States, Canada",ES_1045829_GHE100SS-130_08102018203612_6362162
2324288,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SS-130A,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,130,0.97,1050,,,,04/05/2018,04/23/2024,"United States, Canada",ES_1045829_GHE100SS-130A_08102018203615_1803784
2324289,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SU-200,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,200,0.97,1100,,,,03/20/2018,04/17/2024,"United States, Canada",ES_1045829_GHE100SU-200_08102018211612_2648183
2324290,Rheem-Ruud Manufacturing,Rheem,Triton,GHE100SU-250,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,250,0.96,1155,,,,03/20/2018,04/17/2024,"United States, Canada",ES_1045829_GHE100SU-250_08102018212026_7057661
2324291,Rheem-Ruud Manufacturing,Ruud,Triton,GHE100SU-250,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,250,0.96,1155,,,,03/20/2018,04/17/2024,"United States, Canada",ES_1045829_GHE100SU-250_08102018212150_1638602
2324292,Rheem-Ruud Manufacturing,Richmond,Triton,GHE100SU-160,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,160,0.97,1080,,,,03/09/2018,04/17/2024,"United States, Canada",ES_1045829_GHE100SU-160_08102018212531_8693020
2324293,Rheem-Ruud Manufacturing,Rheem,Triton,GHE80SU-300,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/05/2018,04/18/2024,"United States, Canada",ES_1045829_GHE80SU-300_08102018212739_4731386
2324294,Rheem-Ruud Manufacturing,Rheem,Triton,GHE80SU-300A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/05/2018,04/18/2024,"United States, Canada",ES_1045829_GHE80SU-300A_08102018212742_7316088
2324295,Rheem-Ruud Manufacturing,Rheem,Triton,GHE80SS-300,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/05/2018,04/18/2024,"United States, Canada",ES_1045829_GHE80SS-300_08102018212744_7392535
2324296,Rheem-Ruud Manufacturing,Rheem,Triton,GHE80SS-300A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/05/2018,04/18/2024,"United States, Canada",ES_1045829_GHE80SS-300A_08102018212747_0741388
2324297,Rheem-Ruud Manufacturing,Ruud,Triton,GHE80SU-300A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/05/2018,04/18/2024,"United States, Canada",ES_1045829_GHE80SU-300A_08102018212749_2246295
2324298,Rheem-Ruud Manufacturing,Ruud,Triton,GHE80SS-300,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/05/2018,04/18/2024,"United States, Canada",ES_1045829_GHE80SS-300_08102018212752_7895659
2324299,Rheem-Ruud Manufacturing,Ruud,Triton,GHE80SS-300A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/05/2018,04/18/2024,"United States, Canada",ES_1045829_GHE80SS-300A_08102018212754_8005126
2324300,Rheem-Ruud Manufacturing,Richmond,Triton,GHE80SU-300A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/05/2018,04/18/2024,"United States, Canada",ES_1045829_GHE80SU-300A_08102018212757_4701267
2324301,Rheem-Ruud Manufacturing,Richmond,Triton,GHE80SS-300,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/05/2018,04/18/2024,"United States, Canada",ES_1045829_GHE80SS-300_08102018212759_3174531
